layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2975
input_layernorm,1,0,4,20031
q_proj,1,0,4,18063
k_proj,1,0,4,9568
v_proj,1,0,4,9280
rope,1,0,4,24814
o_proj,1,0,4,19039
post_layernorm,1,0,4,22064
gate_proj,1,0,4,52272
up_proj,1,0,4,52271
act_fn,1,0,4,3359
down_proj,1,0,4,52480
final_layernorm,1,0,4,19968
lm_head,1,0,4,433583
embedding,2,0,4,3584
input_layernorm,2,0,4,24192
q_proj,2,0,4,2336
k_proj,2,0,4,1952
v_proj,2,0,4,1888
rope,2,0,4,30656
post_layernorm,2,0,4,25119
gate_proj,2,0,4,3264
up_proj,2,0,4,3184
act_fn,2,0,4,4031
down_proj,2,0,4,3200
final_layernorm,2,0,4,24737
o_proj,2,0,4,19311
embedding,3,0,4,4256
input_layernorm,3,0,4,23615
q_proj,3,0,4,2368
k_proj,3,0,4,1952
v_proj,3,0,4,1888
rope,3,0,4,30895
post_layernorm,3,0,4,24575
gate_proj,3,0,4,3296
up_proj,3,0,4,3263
act_fn,3,0,4,3809
down_proj,3,0,4,3264
final_layernorm,3,0,4,24255
o_proj,3,0,4,19583
embedding,4,0,4,4928
input_layernorm,4,0,4,25119
q_proj,4,0,4,2368
k_proj,4,0,4,1968
v_proj,4,0,4,1888
rope,4,0,4,31806
post_layernorm,4,0,4,26015
gate_proj,4,0,4,3392
up_proj,4,0,4,3328
act_fn,4,0,4,3936
down_proj,4,0,4,3328
final_layernorm,4,0,4,25825
o_proj,4,0,4,19855
embedding,5,0,4,5728
input_layernorm,5,0,4,24591
q_proj,5,0,4,2400
k_proj,5,0,4,1984
v_proj,5,0,4,1920
rope,5,0,4,31489
post_layernorm,5,0,4,25408
gate_proj,5,0,4,3456
up_proj,5,0,4,3440
act_fn,5,0,4,4191
final_layernorm,5,0,4,25503
o_proj,5,0,4,20127
embedding,6,0,4,6432
input_layernorm,6,0,4,24751
q_proj,6,0,4,2400
k_proj,6,0,4,1984
v_proj,6,0,4,1952
rope,6,0,4,31919
post_layernorm,6,0,4,25518
gate_proj,6,0,4,3552
up_proj,6,0,4,3551
act_fn,6,0,4,3904
final_layernorm,6,0,4,25632
