layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2944
input_layernorm,1,0,4,19952
q_proj,1,0,4,18144
k_proj,1,0,4,9504
v_proj,1,0,4,9216
rope,1,0,4,24990
o_proj,1,0,4,18848
post_layernorm,1,0,4,21984
gate_proj,1,0,4,52288
up_proj,1,0,4,52127
act_fn,1,0,4,3360
down_proj,1,0,4,52384
final_layernorm,1,0,4,19904
lm_head,1,0,4,433932
embedding,2,0,4,3616
input_layernorm,2,0,4,23808
q_proj,2,0,4,2336
k_proj,2,0,4,1920
v_proj,2,0,4,1856
rope,2,0,4,30559
post_layernorm,2,0,4,24975
gate_proj,2,0,4,3232
up_proj,2,0,4,3200
act_fn,2,0,4,3808
down_proj,2,0,4,3200
final_layernorm,2,0,4,24560
embedding,3,0,4,4256
input_layernorm,3,0,4,23295
q_proj,3,0,4,2337
k_proj,3,0,4,1952
v_proj,3,0,4,1888
rope,3,0,4,30910
post_layernorm,3,0,4,24478
gate_proj,3,0,4,3232
up_proj,3,0,4,3248
act_fn,3,0,4,3808
down_proj,3,0,4,3264
final_layernorm,3,0,4,23969
embedding,4,0,4,4960
input_layernorm,4,0,4,24672
q_proj,4,0,4,2368
k_proj,4,0,4,1952
v_proj,4,0,4,1888
rope,4,0,4,31870
post_layernorm,4,0,4,25921
gate_proj,4,0,4,3392
up_proj,4,0,4,3296
act_fn,4,0,4,4064
down_proj,4,0,4,3264
final_layernorm,4,0,4,25487
embedding,5,0,4,5728
input_layernorm,5,0,4,24383
q_proj,5,0,4,2384
k_proj,5,0,4,1984
v_proj,5,0,4,1920
rope,5,0,4,31487
post_layernorm,5,0,4,25215
gate_proj,5,0,4,3488
up_proj,5,0,4,3424
act_fn,5,0,4,3872
final_layernorm,5,0,4,25200
embedding,6,0,4,6432
input_layernorm,6,0,4,24462
q_proj,6,0,4,2400
k_proj,6,0,4,1984
v_proj,6,0,4,1920
rope,6,0,4,31871
post_layernorm,6,0,4,25344
gate_proj,6,0,4,3552
up_proj,6,0,4,3520
act_fn,6,0,4,3904
final_layernorm,6,0,4,25471
embedding,7,0,4,7168
input_layernorm,7,0,4,24687
q_proj,7,0,4,2416
k_proj,7,0,4,1984
v_proj,7,0,4,1952
rope,7,0,4,31744
post_layernorm,7,0,4,25536
gate_proj,7,0,4,3584
up_proj,7,0,4,3552
act_fn,7,0,4,3936
final_layernorm,7,0,4,25568
embedding,8,0,4,7712
input_layernorm,8,0,4,27136
q_proj,8,0,4,2432
