layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2641
input_layernorm,1,0,4,17783
q_proj,1,0,4,16036
k_proj,1,0,4,8494
v_proj,1,0,4,8238
rope,1,0,4,22029
o_proj,1,0,4,16902
post_layernorm,1,0,4,19588
gate_proj,1,0,4,46407
up_proj,1,0,4,46406
act_fn,1,0,4,2982
down_proj,1,0,4,46591
final_layernorm,1,0,4,17727
lm_head,1,0,4,384934
embedding,2,0,4,3181
input_layernorm,2,0,4,21477
q_proj,2,0,4,2073
k_proj,2,0,4,1732
v_proj,2,0,4,1676
rope,2,0,4,27216
post_layernorm,2,0,4,22300
gate_proj,2,0,4,2897
up_proj,2,0,4,2826
act_fn,2,0,4,3578
down_proj,2,0,4,2840
final_layernorm,2,0,4,21961
o_proj,2,0,4,17144
lm_head,2,0,4,386773
embedding,3,0,4,3778
input_layernorm,3,0,4,20965
q_proj,3,0,4,2102
k_proj,3,0,4,1732
v_proj,3,0,4,1676
rope,3,0,4,27428
post_layernorm,3,0,4,21817
gate_proj,3,0,4,2926
up_proj,3,0,4,2896
act_fn,3,0,4,3381
down_proj,3,0,4,2897
final_layernorm,3,0,4,21533
o_proj,3,0,4,17385
lm_head,3,0,4,388612
embedding,4,0,4,4375
input_layernorm,4,0,4,22300
q_proj,4,0,4,2102
k_proj,4,0,4,1747
v_proj,4,0,4,1676
rope,4,0,4,28237
post_layernorm,4,0,4,23096
gate_proj,4,0,4,3011
up_proj,4,0,4,2954
act_fn,4,0,4,3494
down_proj,4,0,4,2954
final_layernorm,4,0,4,22927
o_proj,4,0,4,17627
lm_head,4,0,4,390450
embedding,5,0,4,5085
input_layernorm,5,0,4,21831
q_proj,5,0,4,2130
k_proj,5,0,4,1761
v_proj,5,0,4,1704
rope,5,0,4,27955
post_layernorm,5,0,4,22557
gate_proj,5,0,4,3068
up_proj,5,0,4,3054
act_fn,5,0,4,3720
final_layernorm,5,0,4,22641
o_proj,5,0,4,17868
down_proj,5,0,4,8813
lm_head,5,0,4,392289
embedding,6,0,4,5710
input_layernorm,6,0,4,21973
q_proj,6,0,4,2130
k_proj,6,0,4,1761
v_proj,6,0,4,1732
rope,6,0,4,28337
post_layernorm,6,0,4,22654
gate_proj,6,0,4,3153
up_proj,6,0,4,3152
act_fn,6,0,4,3465
final_layernorm,6,0,4,22756
o_proj,6,0,4,18110
down_proj,6,0,4,14671
lm_head,6,0,4,394128
embedding,7,0,4,6277
input_layernorm,7,0,4,22044
q_proj,7,0,4,2130
k_proj,7,0,4,1761
v_proj,7,0,4,1732
rope,7,0,4,28239
post_layernorm,7,0,4,22882
gate_proj,7,0,4,3181
up_proj,7,0,4,3153
act_fn,7,0,4,3494
final_layernorm,7,0,4,22868
o_proj,7,0,4,18351
down_proj,7,0,4,20530
lm_head,7,0,4,395967
embedding,8,0,4,6931
input_layernorm,8,0,4,24417
q_proj,8,0,4,2159
k_proj,8,0,4,1789
v_proj,8,0,4,1761
rope,8,0,4,28693
post_layernorm,8,0,4,24744
gate_proj,8,0,4,3238
up_proj,8,0,4,3209
act_fn,8,0,4,3664
final_layernorm,8,0,4,24644
o_proj,8,0,4,18593
down_proj,8,0,4,26389
lm_head,8,0,4,397806
embedding,9,0,4,7698
input_layernorm,9,0,4,23748
q_proj,9,0,4,2187
k_proj,9,0,4,1818
v_proj,9,0,4,1790
rope,9,0,4,28410
post_layernorm,9,0,4,24401
gate_proj,9,0,4,3281
up_proj,9,0,4,3238
act_fn,9,0,4,3721
final_layernorm,9,0,4,24175
o_proj,9,0,4,18834
down_proj,9,0,4,32248
lm_head,9,0,4,399644
embedding,10,0,4,8295
input_layernorm,10,0,4,23835
q_proj,10,0,4,2187
k_proj,10,0,4,1846
v_proj,10,0,4,1789
rope,10,0,4,28522
post_layernorm,10,0,4,24360
gate_proj,10,0,4,3295
up_proj,10,0,4,3267
act_fn,10,0,4,3608
final_layernorm,10,0,4,24431
o_proj,10,0,4,19076
down_proj,10,0,4,38107
lm_head,10,0,4,401483
embedding,11,0,4,8920
input_layernorm,11,0,4,23962
q_proj,11,0,4,2215
k_proj,11,0,4,1846
v_proj,11,0,4,1789
rope,11,0,4,28537
post_layernorm,11,0,4,24573
gate_proj,11,0,4,3352
up_proj,11,0,4,3323
act_fn,11,0,4,3664
final_layernorm,11,0,4,24517
o_proj,11,0,4,19317
down_proj,11,0,4,43966
lm_head,11,0,4,403322
embedding,12,0,4,9530
input_layernorm,12,0,4,24062
q_proj,12,0,4,2215
