instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,374,418,0,559674072,559674072,1,64509510,11515454,"[11512950, 11512950, 11512950, 11512950, 11512950, 11512950, 11512950, 11512950, 11512950, 11512950, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214]"
1,3,meta-llama/Llama-3.1-8B,91,107,4710427000,4911754335,201327335,18114,41199094,10675216,"[16236423, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987]"
0,2,meta-llama/Llama-3.1-8B,879,934,4541877000,5151674771,609797771,3323,110169178,9252381,"[19852482, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587]"
1,1,meta-llama/Llama-3.1-8B,396,505,4314579000,5497329191,1182750191,95072,71361937,10290631,"[12516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 10277987, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 8568587, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814]"
0,4,meta-llama/Llama-3.1-8B,91,107,5892655000,6107549061,214894061,674191,41855171,11535926,"[11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926, 11535926]"
1,5,meta-llama/Llama-3.1-8B,381,465,6311529000,7333413936,1021884936,20061,64959366,11529223,"[12512950, 11512950, 11512950, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11516214, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814, 11521814]"
0,8,meta-llama/Llama-3.1-8B,242,256,8337078999,8533912367,196833368,4705,54759106,10928789,"[17196093, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 11967096]"
1,7,meta-llama/Llama-3.1-8B,388,472,8251431000,9236982087,985551087,14527,70305509,11027055,"[16978121, 8579275, 8579275, 8579275, 8579275, 8579275, 8579275, 8579275, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 11967096, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240]"
0,6,meta-llama/Llama-3.1-8B,1313,1455,7745497000,9432219456,1686722456,916936,135879737,10998884,"[11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11501846, 11525174, 11525174, 11525174, 11525174, 11525174, 11525174, 11525174, 11525174, 8579275, 8579275, 8579275, 8579275, 8579275, 8579275, 8579275, 8579275, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 11967096, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 10264643, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651]"
0,10,meta-llama/Llama-3.1-8B,394,518,8700213000,10158769242,1458556242,26898,71295423,11278543,"[20756584, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 10275651, 8503403, 8503403, 8503403, 8503403, 8503403, 8503403, 8503403, 8503403, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 10220643, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12001208, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240, 12057240]"
