L_prefill,L_decode,end_time (s),latency (s),stall_total (ms)
374,44,3.4043186,3.4043186,0.0
396,109,11.8549216,11.8549216,0.0
879,55,4.7626699,4.7626699,0.0
91,16,0.7066516,0.7066516,0.0
91,16,0.4807864,0.4807864,0.0
381,84,8.8261009,8.8261009,0.0
1313,142,16.6091715,16.6091715,136.5
388,84,8.8261009,8.8261009,0.0
242,14,1.1383333,1.1383333,136.5
209,152,16.9450845,16.9450845,0.0
394,124,14.4995426,14.4995426,136.5
394,59,5.7494732,5.7494732,0.0
1315,174,20.4214026,20.4214026,326.01
389,90,10.6450522,10.6450522,175.49
415,106,12.939786,12.939786,326.01
120,12,1.1383333,1.1383333,175.49
369,74,9.4326975,9.4326975,494.08
206,162,18.9599512,18.9599512,175.49
1353,142,17.4910886,17.4910886,494.08
197,152,17.9197557,17.9197557,175.49
181,154,18.755557,18.755557,494.08
388,54,6.2426041,6.2426041,175.49
203,147,18.2364314,18.2364314,672.68
126,194,21.8653993,21.8653993,175.49
389,87,11.2503413,11.2503413,672.68
91,16,1.5822623,1.5822623,175.49
181,123,15.5712705,15.5712705,672.68
191,217,23.535956,23.535956,175.49
27,183,21.6397396,21.6397396,672.68
203,217,23.535956,23.535956,175.49
398,81,10.5238673,10.5238673,672.68
126,172,19.9547085,19.9547085,175.49
209,181,21.4803338,21.4803338,672.68
209,181,21.1419967,21.1419967,367.88
28,175,20.9657594,20.9657594,672.68
437,88,10.8872373,10.8872373,367.88
181,104,13.3002629,13.3002629,672.68
203,138,16.8339302,16.8339302,367.88
200,177,21.1419967,21.1419967,672.68
91,16,2.0629567,2.0629567,367.88
1087,401,33.9947241,33.9947241,845.85
382,64,7.9675836,7.9675836,367.88
412,102,13.3002629,13.3002629,845.85
194,217,23.8120336,23.8120336,367.88
203,217,24.1991139,24.1991139,845.85
200,217,23.8120336,23.8120336,367.88
64,174,21.0543302,21.0543302,845.85
458,123,15.4538464,15.4538464,535.62
1352,158,19.7612452,19.7612452,1015.7
874,404,33.9947241,33.9947241,535.62
378,58,8.2139325,8.2139325,1015.7
91,16,2.4257666,2.4257666,535.62
389,89,12.2172248,12.2172248,1183.78
212,183,21.561288,21.561288,535.62
1085,394,33.8704616,33.8704616,1183.78
407,131,16.3814866,16.3814866,535.62
396,82,11.3713015,11.3713015,1183.78
1029,399,33.8704616,33.8704616,729.01
962,399,34.0928544,34.0928544,1360.68
203,217,24.1372594,24.1372594,729.01
898,94,12.939786,12.939786,1360.68
181,253,26.1842152,26.1842152,729.01
320,18,3.7750568,3.7750568,1536.6
1119,414,34.3604732,34.3604732,878.12
124,157,20.0498537,20.0498537,1536.6
1313,179,21.6397396,21.6397396,993.39
1096,383,33.4601463,33.4601463,1536.6
400,102,13.5403497,13.5403497,993.39
1057,424,34.6770535,34.6770535,1690.77
203,162,20.1440364,20.1440364,993.39
1314,216,24.6199797,24.6199797,1802.38
2,93,12.4585539,12.4585539,993.39
1065,409,34.4565993,34.4565993,1938.7
372,60,8.5832179,8.5832179,1171.93
1104,394,34.0928544,34.0928544,2051.64
1075,415,34.4565993,34.4565993,1171.93
1225,372,33.2118499,33.2118499,2166.08
1118,426,34.6650758,34.6650758,1320.81
380,102,14.7400876,14.7400876,2166.08
1133,385,33.5082013,33.5082013,1441.82
42,167,21.4803338,21.4803338,2166.08
1140,377,33.2118499,33.2118499,1557.8
126,203,24.0736217,24.0736217,2166.08
431,84,11.9757277,11.9757277,1557.8
1115,421,34.7073732,34.7073732,2335.08
206,179,22.0153455,22.0153455,1557.8
400,91,13.5403497,13.5403497,2335.08
1123,396,34.0928544,34.0928544,1728.34
862,379,33.6467981,33.6467981,2487.26
859,422,34.6650758,34.6650758,1728.34
890,402,34.4105087,34.4105087,2487.26
1192,419,34.6493572,34.6493572,1919.5
899,403,34.4565993,34.4565993,2657.32
163,224,25.1959389,25.1959389,1919.5
181,212,24.7949013,24.7949013,2657.32
416,88,12.8195214,12.8195214,1919.5
1163,426,34.7746381,34.7746381,2770.34
243,14,3.7750568,3.7750568,1919.5
1041,428,34.8087367,34.8087367,2892.26
1350,146,19.4646297,19.4646297,2112.45
