instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,374,44,0,316721201,316721201,1,28904838,6693403,"[6693377, 6693377, 6693377, 6693377, 6693377, 6693377, 6693377, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409]"
0,3,meta-llama/Llama-3.1-8B,91,16,4710427000,4838564554,128137554,16267,11672200,7764356,"[9394800, 7647803, 7647803, 7647835, 7647835, 7647867, 7647867, 7647899, 7647899, 7647931, 7647931, 7647963, 7647963, 7647963, 7647995]"
0,2,meta-llama/Llama-3.1-8B,879,55,4541877000,5020854186,478977186,46921,65424247,7658387,"[10218686, 7594628, 7594628, 7594660, 7594660, 7594692, 7594692, 7594724, 7594724, 7594756, 7594788, 7594788, 7594820, 7594852, 7594852, 7647803, 7647803, 7647803, 7647835, 7647835, 7647867, 7647867, 7647899, 7647899, 7647931, 7647931, 7647963, 7647963, 7647963, 7647995, 7595172, 7595204, 7595204, 7595236, 7595268, 7595268, 7595300, 7595332, 7595332, 7595364, 7595364, 7595396, 7595428, 7595428, 7595460, 7595492, 7595492, 7595524, 7595524, 7595524, 7595556, 7595556, 7595588, 7595620]"
0,1,meta-llama/Llama-3.1-8B,396,109,4314579000,5121256281,806677281,142201,34302938,7151614,"[6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 7594596, 7594628, 7594628, 7594660, 7594660, 7594692, 7594692, 7594724, 7594724, 7594756, 7594788, 7594788, 7594820, 7594852, 7594852, 7647803, 7647803, 7647803, 7647835, 7647835, 7647867, 7647867, 7647899, 7647899, 7647931, 7647931, 7647963, 7647963, 7647963, 7647995, 7595172, 7595204, 7595204, 7595236, 7595268, 7595268, 7595300, 7595332, 7595332, 7595364, 7595364, 7595396, 7595428, 7595428, 7595460, 7595492, 7595492, 7595524, 7595524, 7595524, 7595556, 7595556, 7595588, 7595620, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473]"
0,4,meta-llama/Llama-3.1-8B,91,16,5892655000,6005089189,112434189,601281,12257214,6678465,"[6674593, 6675169, 6675745, 6676321, 6676865, 6677409, 6677985, 6678529, 6679041, 6679585, 6680097, 6680641, 6681153, 6681665, 6682177]"
0,5,meta-llama/Llama-3.1-8B,381,84,6311529000,6896761662,585232662,560189,29678339,6693425,"[6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693409, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441]"
0,8,meta-llama/Llama-3.1-8B,242,14,8337078999,8462498924,125419925,26960,21666382,7981041,"[11937987, 7651163, 7651195, 7651227, 7651227, 7651259, 7651291, 7651323, 7651323, 7651355, 7651387, 7651387, 7651419]"
0,6,meta-llama/Llama-3.1-8B,1313,142,7745497000,8860705452,1115208452,264662,99359291,7204603,"[6699681, 6699681, 6699713, 6699713, 6699713, 6699713, 6699713, 6699745, 6699745, 6699745, 6699745, 6699777, 6699777, 6699777, 6699777, 6699809, 6699809, 6699809, 6699809, 6699809, 6699841, 6699841, 6699841, 6699841, 6699873, 6699873, 6699873, 6699873, 6699873, 6699905, 6699905, 6699905, 6699905, 6699937, 6699937, 6699937, 6699937, 6699937, 6699969, 6699969, 6699969, 6699969, 6700001, 6700001, 6700001, 6700001, 6700001, 6700033, 6700033, 6700033, 6700033, 6700065, 6700065, 6700065, 6700065, 6700065, 6700097, 6700097, 6700097, 6700097, 6700129, 6700129, 6700129, 6700129, 6700129, 6700161, 7598052, 7598084, 7598084, 7598116, 7598116, 7598148, 7598148, 7598180, 7598180, 7598212, 7651131, 7651163, 7651195, 7651227, 7651227, 7651259, 7651291, 7651323, 7651323, 7651355, 7651387, 7651387, 7651419, 7598436, 7598436, 7598468, 7598468, 7651163, 7651195, 7651227, 7651259, 7651259, 7651291, 7651323, 7651355, 7651355, 7651387, 7651419, 7651419, 7651451, 7651483, 7651515, 7651515, 7651547, 7651579, 7651579, 7651611, 7651643, 7651675, 7651675, 7651707, 7651739, 7651739, 7651771, 7651803, 7651835, 7651835, 7651867, 7651899, 7685037, 7685037, 7685069, 7685101, 7685133, 7685165, 7685197, 7685197, 7685229, 7685261, 7685293, 7685325, 7685357, 7685357, 7685389, 7685453]"
0,7,meta-llama/Llama-3.1-8B,388,84,8251431000,8921860260,670429260,72287,30932545,7704779,"[12285424, 7598084, 7598084, 7598116, 7598116, 7598148, 7598148, 7598180, 7598180, 7598212, 7651131, 7651163, 7651195, 7651227, 7651227, 7651259, 7651291, 7651323, 7651323, 7651355, 7651387, 7651387, 7651419, 7598436, 7598436, 7598468, 7598468, 7651163, 7651195, 7651227, 7651259, 7651259, 7651291, 7651323, 7651355, 7651355, 7651387, 7651419, 7651419, 7651451, 7651483, 7651515, 7651515, 7651547, 7651579, 7651579, 7651611, 7651643, 7651675, 7651675, 7651707, 7651739, 7651739, 7651771, 7651803, 7651835, 7651835, 7651867, 7651899, 7685037, 7685037, 7685069, 7685101, 7685133, 7685165, 7685197, 7685197, 7685229, 7685261, 7685293, 7685325, 7685357, 7685357, 7685389, 7685453, 7644315, 7644315, 7644315, 7644347, 7644347, 7644379, 7644379, 7644411]"
0,9,meta-llama/Llama-3.1-8B,209,152,8464985000,9644128401,1179143401,2201,20550834,7672798,"[15008061, 7651195, 7651227, 7651259, 7651259, 7651291, 7651323, 7651355, 7651355, 7651387, 7651419, 7651419, 7651451, 7651483, 7651515, 7651515, 7651547, 7651579, 7651579, 7651611, 7651643, 7651675, 7651675, 7651707, 7651739, 7651739, 7651771, 7651803, 7651835, 7651835, 7651867, 7651899, 7685037, 7685037, 7685069, 7685101, 7685133, 7685165, 7685197, 7685197, 7685229, 7685261, 7685293, 7685325, 7685357, 7685357, 7685389, 7685453, 7644315, 7644315, 7644315, 7644347, 7644347, 7644379, 7644379, 7644411, 7589252, 7589252, 7589252, 7589284, 7589284, 7589284, 7589284, 7589284, 7589284, 7589284, 7589316, 7589316, 7589316, 7589316, 7589316, 7589316, 7589316, 7589316, 7589348, 7589348, 7589348, 7589348, 7589348, 7589348, 7589348, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7644699, 7644731, 7644731, 7644763, 7644763, 7644795, 7644795, 7644795, 7644827, 7644827, 7644827, 7644859, 7644859, 7644859, 7644891, 7644891, 7644923, 7644923, 7644923, 7644955, 7644955, 7644955, 7644987]"
0,10,meta-llama/Llama-3.1-8B,394,124,8700213000,9674487169,974274169,2396,33337693,7649890,"[11876196, 7685037, 7685069, 7685101, 7685133, 7685165, 7685197, 7685197, 7685229, 7685261, 7685293, 7685325, 7685357, 7685357, 7685389, 7685453, 7644315, 7644315, 7644315, 7644347, 7644347, 7644379, 7644379, 7644411, 7589252, 7589252, 7589252, 7589284, 7589284, 7589284, 7589284, 7589284, 7589284, 7589284, 7589316, 7589316, 7589316, 7589316, 7589316, 7589316, 7589316, 7589316, 7589348, 7589348, 7589348, 7589348, 7589348, 7589348, 7589348, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589380, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589412, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589444, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589476, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7589508, 7644699, 7644731, 7644731, 7644763, 7644763, 7644795, 7644795, 7644795, 7644827, 7644827, 7644827, 7644859, 7644859, 7644859, 7644891, 7644891, 7644923, 7644923, 7644923, 7644955, 7644955, 7644955, 7644987, 7589668, 7589700, 7589700, 7589700]"
0,11,meta-llama/Llama-3.1-8B,394,59,9427468000,9908216823,480748823,6698,33341995,7713910,"[15131572, 7644731, 7644731, 7644763, 7644763, 7644795, 7644795, 7644795, 7644827, 7644827, 7644827, 7644859, 7644859, 7644859, 7644891, 7644891, 7644923, 7644923, 7644923, 7644955, 7644955, 7644955, 7644987, 7589668, 7589700, 7589700, 7589700, 6693441, 6693441, 7597796, 7597828, 7597828, 7597860, 7597860, 7597892, 7597892, 7597924, 7597924, 7597956, 7597956, 7597988, 7597988, 7598020, 7598020, 7598052, 7598052, 7598084, 7598084, 7598116, 7598116, 7598148, 7598148, 7598180, 7598180, 7598212, 7598212, 7598212, 7598244]"
0,12,meta-llama/Llama-3.1-8B,1315,174,9582558000,10912594475,1330036475,364996,99517480,7112826,"[13396367, 7597828, 7597828, 7597860, 7597860, 7597892, 7597892, 7597924, 7597924, 7597956, 7597956, 7597988, 7597988, 7598020, 7598020, 7598052, 7598052, 7598084, 7598084, 7598116, 7598116, 7598148, 7598148, 7598180, 7598180, 7598212, 7598212, 7598212, 7598244, 6699905, 6699905, 6699937, 6699937, 6699937, 6699937, 6699937, 6699969, 6699969, 6699969, 6699969, 6700001, 6700001, 6700001, 6700001, 6700001, 6700033, 6700033, 6700033, 6700033, 6700065, 6700065, 6700065, 6700065, 6700065, 6700097, 6700097, 6700097, 6700097, 6700129, 6700129, 6700129, 6700129, 6700129, 6700161, 6700161, 6700161, 6700161, 6700161, 6700193, 6700193, 6700193, 6700193, 6700225, 6700225, 6700225, 6700225, 6700225, 6700257, 6700257, 6700257, 6700257, 6700257, 6700289, 6700289, 6700289, 6700289, 6700321, 6700321, 6700321, 6700321, 6700321, 6700353, 6700353, 6700353, 6700353, 6700353, 6700385, 6700385, 6700385, 6700385, 6700417, 6700417, 6700417, 6700417, 6700417, 6700449, 6700449, 6700449, 6700449, 6700449, 6700481, 6700481, 6700481, 6700481, 6700513, 6700513, 6700513, 6700513, 6700513, 6700545, 6700545, 6700545, 6700545, 6700545, 6700577, 6700577, 6700577, 6700577, 6700577, 7598596, 7598596, 7598628, 7598628, 7598660, 7598660, 7598692, 7598692, 7598724, 7598724, 7598756, 7598756, 7598756, 7598788, 7598788, 7598820, 7598820, 7598852, 7598852, 7598884, 7598884, 7598916, 7598916, 7598948, 7598948, 7598980, 7598980, 7599012, 7599012, 7599044, 7599044, 7599076, 7599076, 7599076, 7599108, 7599108, 7599140, 7599140, 7599172, 7599172, 7599204, 7599204, 7599236, 7599236]"
0,13,meta-llama/Llama-3.1-8B,389,90,10546126000,11215592030,669466030,14105,31286634,7170555,"[8428133, 7598596, 7598628, 7598628, 7598660, 7598660, 7598692, 7598692, 7598724, 7598724, 7598756, 7598756, 7598756, 7598788, 7598788, 7598820, 7598820, 7598852, 7598852, 7598884, 7598884, 7598916, 7598916, 7598948, 7598948, 7598980, 7598980, 7599012, 7599012, 7599044, 7599044, 7599076, 7599076, 7599076, 7599108, 7599108, 7599140, 7599140, 7599172, 7599172, 7599204, 7599204, 7599236, 7599236, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693441, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 6693473, 7589604, 7589604]"
0,15,meta-llama/Llama-3.1-8B,120,12,11430904000,11533342765,102438765,4384,12685301,8159405,"[13862160, 7589124, 7589124, 7589124, 7589124, 7589124, 7589124, 7589124, 7589124, 7589156, 7589156]"
