instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,374,418,0,552915272,552915272,1,64355510,11361854,"[11359350, 11359350, 11359350, 11359350, 11359350, 11359350, 11359350, 11359350, 11359350, 11359350, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614]"
1,3,meta-llama/Llama-3.1-8B,91,107,4710427000,4904161535,193734535,6237,41033217,10180087,"[10959900, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387]"
0,2,meta-llama/Llama-3.1-8B,879,934,4541877000,5139781171,597904171,6015,110017870,9034931,"[16250990, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987]"
1,1,meta-llama/Llama-3.1-8B,396,505,4314579000,5480827591,1166248591,336272,71449137,10137031,"[12362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 10124387, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 8414987, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214]"
0,4,meta-llama/Llama-3.1-8B,91,107,5892655000,6104589461,211934461,172591,41199571,11382326,"[11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326, 11382326]"
1,5,meta-llama/Llama-3.1-8B,381,465,6311529000,7320551536,1009022536,60461,64845766,11375623,"[12359350, 11359350, 11359350, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11362614, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214, 11368214]"
0,8,meta-llama/Llama-3.1-8B,242,256,8337078999,8532105642,195026643,9173,54609574,10801313,"[17382100, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11813496]"
1,7,meta-llama/Llama-3.1-8B,388,472,8251431000,9213804554,962373554,14913,70151895,10749658,"[9971335, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11813496, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640]"
0,6,meta-llama/Llama-3.1-8B,1313,1455,7745497000,9406123523,1660626523,54536,134863337,10821015,"[11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11348246, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 11371574, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 8425675, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11813496, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 10111043, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051]"
0,10,meta-llama/Llama-3.1-8B,394,518,8700213000,10120280033,1420067033,20944,71135469,10966923,"[15269813, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 10122051, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 8349803, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 10067043, 11847608, 11847608, 11847608, 11847608, 11847608, 11847608, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640, 11903640]"
