L_prefill,L_decode,end_time (s),latency (s),stall_total (ms)
374,44,0.5529153,0.5529153,0.0
396,109,5.4808276,1.1662486,0.34
879,55,5.1397812,0.5979042,0.01
91,16,4.9041615,0.1937345,0.01
91,16,6.1045895,0.2119345,0.17
381,84,7.3205515,1.0090225,0.06
1313,142,9.4061235,1.6606265,0.05
388,84,9.2138046,0.9623736,0.01
242,14,8.5321056,0.1950266,0.01
209,152,10.1506462,1.6856612,0.04
394,124,10.12028,1.420067,0.02
394,59,10.1506462,0.7231782,0.01
1315,174,11.4550229,1.8724649,0.02
389,90,11.3959276,0.8498016,0.01
415,106,12.2382464,1.0803354,0.02
120,12,11.5697741,0.1388701,0.05
369,74,12.6245752,0.7879422,0.04
206,162,14.7178985,1.8313535,0.03
1353,142,14.7415937,1.7165057,0.02
197,152,14.7716024,1.7217594,0.03
181,154,15.9169229,1.8573729,0.01
388,54,14.8384008,0.7406208,0.02
203,147,19.2854694,1.4925314,0.98
126,194,20.1046844,1.9441714,0.03
389,87,19.3773173,0.9134253,0.01
91,16,20.081962,0.168035,0.04
181,123,21.8201434,1.3412024,0.74
191,217,23.0680674,2.4097144,0.01
27,183,23.0561925,2.1142765,0.05
203,217,23.9129924,2.5429274,0.0
398,81,22.4495133,1.0744263,0.0
126,172,24.6646464,1.9517744,0.12
209,181,25.0466248,2.0517688,0.05
209,181,25.5970792,2.2256762,0.1
28,175,26.4808475,2.3345515,0.05
437,88,26.0703701,1.3019851,0.02
181,104,26.4258859,1.5309249,0.0
203,138,27.1788803,2.0974583,0.01
200,177,27.8639454,2.6405664,0.39
91,16,25.62818,0.303926,0.2
1087,401,32.4913363,6.5742293,0.16
382,64,27.2875636,1.0330856,0.28
412,102,27.9601282,1.5530712,0.2
194,217,30.0833235,3.6221795,0.01
203,217,31.1704186,3.8401526,0.16
200,217,31.4228529,3.8703239,0.02
64,174,31.3446441,3.2544101,0.01
458,123,30.859157,2.5058,0.01
1352,158,31.6843272,3.1057922,0.18
874,404,36.5927273,7.9849553,0.06
378,58,30.0833235,1.3189445,0.37
91,16,29.7428804,0.4025924,0.01
389,89,31.7320666,1.5505676,0.33
212,183,34.330049,3.060878,0.11
1085,394,41.9505969,10.3301069,0.01
407,131,33.9734036,2.2131746,0.01
396,82,33.2583164,1.3413134,0.0
1029,399,45.1634815,12.7749765,0.06
962,399,48.5199558,15.2840738,0.04
203,217,39.3705588,5.9570308,0.01
898,94,35.9372171,2.4462161,0.31
181,253,41.0758487,7.5490787,0.02
320,18,34.1551875,0.5094745,0.0
1119,414,50.7894698,17.0407678,0.31
124,157,38.0892852,4.2642852,0.0
1313,179,39.0094227,5.0768937,0.64
1096,383,51.3557077,16.6092617,0.37
400,102,38.2438053,2.9497363,0.01
1057,424,55.6366558,19.4981438,0.28
203,162,42.3357323,5.8153153,0.19
1314,216,46.5500223,9.6852833,0.33
2,93,40.2707033,3.1458973,0.07
1065,409,56.7402798,19.2643148,0.17
372,60,40.3134961,2.1585661,0.01
1104,394,57.3639158,18.8148718,0.37
1075,415,58.1884907,19.3751587,0.39
1225,372,57.3332153,18.1126313,0.0
1118,426,58.8288241,19.5046971,0.0
380,102,44.6363007,4.9985367,0.75
1133,385,58.0548159,18.4096249,0.18
42,167,49.1434089,9.1015419,0.17
1140,377,58.3634743,17.8843103,0.0
126,203,52.350522,11.224649,0.19
431,84,46.115625,4.758234,0.82
1115,421,60.1017543,17.7676993,0.0
206,179,52.7231472,10.1934542,0.42
400,91,48.1698496,5.6392246,0.5
1123,396,59.8043671,17.2591041,37.22
862,379,59.4741466,16.9103266,38.51
859,422,60.2090784,17.5238554,19.62
890,402,59.9445861,17.2533481,19.95
1192,419,60.2090784,17.4937784,98.24
899,403,59.9916434,17.1830704,13.32
163,224,55.1843134,12.1845664,0.68
181,212,54.7989489,11.6054879,1.13
416,88,49.0884676,5.4994126,1.32
1163,426,60.3772405,16.7673305,0.0
243,14,44.7709851,0.9798611,0.61
1041,428,60.4454377,16.5520117,0.2
1350,146,52.3985154,8.4754444,0.12
