prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.77933
0,0,1,32,10.6773
0,0,1,64,12.8323
0,0,1,128,18.2727
0,0,1,256,18.4857
0,0,1,512,19.3603
0,0,1,1024,22.0693
0,0,1,2048,32.192
0,0,1,4096,50.1013
0,0,1,8192,77.632
0,0,1,16384,134.571
0,0,2,16,10.016
0,0,2,32,12.0107
0,0,2,64,14.5067
0,0,2,128,20.8
0,0,2,256,21.7283
0,0,2,512,26.5173
0,0,2,1024,32.0747
0,0,2,2048,48.9277
0,0,2,4096,77.0133
0,0,2,8192,135.733
0,0,2,16384,246.784
0,0,4,16,10.261
0,0,4,32,12.5013
0,0,4,64,14.837
0,0,4,128,22.229
0,0,4,256,26.976
0,0,4,512,34.0803
0,0,4,1024,48.8643
0,0,4,2048,80.736
0,0,4,4096,138.24
0,0,4,8192,254.176
0,0,4,16384,483.36
0,0,8,16,10.8803
0,0,8,32,13.653
0,0,8,64,16.2667
0,0,8,128,28.448
0,0,8,256,34.8053
0,0,8,512,50.2287
0,0,8,1024,79.9783
0,0,8,2048,138.411
0,0,8,4096,253.92
0,0,8,8192,482.027
0,0,8,16384,940.448
0,0,16,16,13.408
0,0,16,32,18.379
0,0,16,64,22.2293
0,0,16,128,31.851
0,0,16,256,46.1333
0,0,16,512,76.6187
0,0,16,1024,134.955
0,0,16,2048,253.61
0,0,16,4096,483.904
0,0,16,8192,936.875
0,0,16,16384,1853.64
0,0,32,16,20.1273
0,0,32,32,29.067
0,0,32,64,38.048
0,0,32,128,54.6773
0,0,32,256,84.341
0,0,32,512,144.672
0,0,32,1024,258.742
0,0,32,2048,496.437
0,0,32,4096,956.661
0,0,32,8192,1895.86
0,0,32,16384,3751.68
0,0,64,16,31.733
0,0,64,32,47.7977
0,0,64,64,65.3763
0,0,64,128,96.3837
0,0,64,256,156.064
0,0,64,512,273.632
0,0,64,1024,508.011
0,0,64,2048,977.749
0,0,64,4096,1924.14
0,0,64,8192,3818.16
0,0,64,16384,7601.37
0,0,128,16,54.1973
0,0,128,32,81.7493
0,0,128,64,111.85
0,0,128,128,174.293
0,0,128,256,291.371
0,0,128,512,518.038
0,0,128,1024,983.402
0,0,128,2048,1925.78
0,0,128,4096,3789.82
0,0,128,8192,7623.38
0,0,128,16384,15000.6
0,0,256,16,98.9547
0,0,256,32,148.96
0,0,256,64,204.075
0,0,256,128,318.56
0,0,256,256,542.496
0,0,256,512,985.248
0,0,256,1024,1871.86
0,0,256,2048,3682.53
0,0,256,4096,7285.3
0,0,256,8192,14531.5
0,0,256,16384,28883.7
16,0,0,0,10.2933
16,0,1,16,16.6293
16,0,1,32,18.4537
16,0,1,64,20.821
16,0,1,128,26.8907
