layer,tokens,time_us
act_fn,1,5.98433
act_fn,2,6.72
act_fn,3,6.77333
act_fn,4,6.76267
act_fn,5,6.848
act_fn,6,6.80533
act_fn,7,6.85867
act_fn,8,6.90133
act_fn,9,6.96533
act_fn,10,6.83733
act_fn,11,6.91233
act_fn,12,6.95467
act_fn,13,6.89067
act_fn,14,6.93333
act_fn,15,6.96533
act_fn,16,6.95433
act_fn,20,6.82667
act_fn,24,7.072
act_fn,28,7.12567
act_fn,32,7.34933
act_fn,36,7.47733
act_fn,40,7.744
act_fn,44,7.904
act_fn,48,8.30967
act_fn,52,8.373
act_fn,56,8.096
act_fn,60,8.416
act_fn,64,8.608
act_fn,80,13.781
act_fn,96,15.4133
act_fn,112,17.0453
act_fn,128,19.7757
act_fn,144,22.3573
act_fn,160,26.3143
act_fn,176,27.7867
act_fn,192,29.7277
act_fn,208,30.7093
act_fn,224,35.3493
act_fn,240,36.6717
act_fn,256,37.9947
act_fn,272,42.315
act_fn,288,45.0027
act_fn,304,48.576
act_fn,320,50.144
act_fn,336,52.0637
act_fn,352,55.0293
act_fn,368,59.168
act_fn,384,60.9277
act_fn,400,59.8933
act_fn,416,62.1653
act_fn,432,64.5973
act_fn,448,68.245
act_fn,464,69.5467
act_fn,480,71.6373
act_fn,496,74.1443
act_fn,512,78.56
act_fn,528,79.9893
act_fn,544,82.059
act_fn,560,84.7357
act_fn,576,87.936
act_fn,592,92.2343
act_fn,608,93.9093
act_fn,624,95.968
act_fn,640,99.0293
act_fn,656,100.597
act_fn,672,102.166
act_fn,688,103.339
act_fn,704,105.867
act_fn,720,108.619
act_fn,736,112.01
act_fn,752,114.336
act_fn,768,115.669
act_fn,784,119.552
act_fn,800,123.211
act_fn,816,125.398
act_fn,832,127.104
act_fn,848,130.101
act_fn,864,132.043
act_fn,880,135.36
act_fn,896,137.354
act_fn,912,137.365
act_fn,928,139.584
act_fn,944,143.296
act_fn,960,145.472
act_fn,976,147.115
act_fn,992,149.323
act_fn,1008,151.914
act_fn,1024,155.264
act_fn,1040,155.04
act_fn,1056,157.536
act_fn,1072,160.853
act_fn,1088,164.213
act_fn,1104,167.253
act_fn,1120,168.714
act_fn,1136,171.776
act_fn,1152,174.315
act_fn,1168,175.765
act_fn,1184,178.187
act_fn,1200,179.808
act_fn,1216,182.592
act_fn,1232,186.112
act_fn,1248,188
act_fn,1264,189.909
act_fn,1280,192.928
act_fn,1296,192.213
act_fn,1312,195.317
act_fn,1328,197.312
act_fn,1344,198.805
act_fn,1360,201.366
act_fn,1376,204.565
act_fn,1392,207.221
act_fn,1408,209.141
act_fn,1424,213.856
act_fn,1440,216.117
act_fn,1456,219.787
act_fn,1472,221.44
act_fn,1488,223.861
act_fn,1504,225.92
act_fn,1520,228.683
act_fn,1536,231.243
act_fn,1552,229.835
act_fn,1568,232.277
act_fn,1584,234.656
act_fn,1600,238.06
act_fn,1616,240.149
act_fn,1632,242.283
act_fn,1648,245.013
act_fn,1664,247.093
act_fn,1680,251.392
act_fn,1696,253.739
act_fn,1712,256.096
act_fn,1728,258.806
act_fn,1744,261.771
act_fn,1760,264.331
act_fn,1776,266.272
act_fn,1792,268.779
act_fn,1808,269.525
act_fn,1824,271.936
act_fn,1840,274.005
act_fn,1856,276.394
act_fn,1872,278.731
act_fn,1888,281.419
act_fn,1904,283.509
act_fn,1920,286.464
act_fn,1936,290.752
act_fn,1952,292.981
act_fn,1968,295.829
act_fn,1984,297.429
act_fn,2000,299.755
act_fn,2016,301.941
act_fn,2032,304.885
act_fn,2048,307.093
down_proj,1,199.819
down_proj,2,206.656
down_proj,3,207.328
down_proj,4,207.861
down_proj,5,209.227
down_proj,6,208.48
down_proj,7,209.717
down_proj,8,210.197
down_proj,9,211.371
down_proj,10,210.954
down_proj,11,212.095
down_proj,12,212.192
down_proj,13,212.97
down_proj,14,213.141
down_proj,15,215.264
down_proj,16,216.459
down_proj,20,343.423
down_proj,24,347.37
down_proj,28,344.821
down_proj,32,344.8
down_proj,36,345.237
down_proj,40,346.026
down_proj,44,347.989
down_proj,48,354.314
down_proj,52,351.648
down_proj,56,355.808
down_proj,60,358.251
down_proj,64,356.554
down_proj,80,332.352
