layer,sequences,time_us
lm_head,1,433.063
lm_head,2,453.98
lm_head,3,455.196
lm_head,4,456.369
lm_head,5,457.425
lm_head,6,456.327
lm_head,7,457.713
lm_head,8,459.484
lm_head,9,458.887
lm_head,10,461.468
lm_head,11,460.221
lm_head,12,463.346
lm_head,13,462.578
lm_head,14,463.761
lm_head,15,463.238
lm_head,16,462.929
lm_head,20,460.881
lm_head,24,466.109
lm_head,28,469.02
lm_head,32,463.602
lm_head,36,468.071
lm_head,40,467.793
lm_head,44,468.348
lm_head,48,470.076
lm_head,52,469.073
lm_head,56,474.364
lm_head,60,476.049
lm_head,64,473.201
lm_head,80,497.959
lm_head,96,502.716
lm_head,112,507.1
lm_head,128,511.953
lm_head,144,896.739
lm_head,160,900.057
lm_head,176,906.883
lm_head,192,894.35
lm_head,208,896.569
lm_head,224,900.526
lm_head,240,904.537
lm_head,256,910.073
sampler,1,44.3627
sampler,2,46.1763
sampler,3,48.3093
sampler,4,48.4477
sampler,5,50.7733
sampler,6,50.709
sampler,7,53.8883
sampler,8,54.304
sampler,9,59.4567
sampler,10,66.656
sampler,11,67.7653
sampler,12,70.2613
sampler,13,71.296
sampler,14,74.4637
sampler,15,75.765
sampler,16,77.1317
sampler,20,84.608
sampler,24,92.427
sampler,28,99.296
sampler,32,105.622
sampler,36,112.576
sampler,40,119.435
sampler,44,127.349
sampler,48,134.763
sampler,52,143.072
sampler,56,150.9
sampler,60,160.949
sampler,64,168.789
sampler,80,213.514
sampler,96,248.778
sampler,112,285.557
sampler,128,322.539
sampler,144,359.786
sampler,160,423.274
sampler,176,449.632
sampler,192,480.576
sampler,208,518.495
sampler,224,554.059
sampler,240,590.144
sampler,256,626.474
