prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,1.761107391044776
0,0,1,32,2.1418345074626868
0,0,1,64,2.5741210746268655
0,0,1,128,3.6654490746268658
0,0,1,256,3.7081762388059705
0,0,1,512,3.883618388059701
0,0,1,1024,4.427035701492537
0,0,1,2048,6.457619104477612
0,0,1,4096,10.050171223880596
0,0,1,8192,15.572747462686568
0,0,1,16384,26.994540895522388
0,0,2,16,2.0091797014925374
0,0,2,32,2.4093105671641792
0,0,2,64,2.9100007164179105
0,0,2,128,4.172417910447761
0,0,2,256,4.358632119402985
0,0,2,512,5.3192912238805965
0,0,2,1024,6.434089074626866
0,0,2,2048,9.814750567164179
0,0,2,4096,15.448638089552238
0,0,2,8192,27.227634626865672
0,0,2,16384,49.50413373134328
0,0,4,16,2.0583259701492533
0,0,4,32,2.507723462686567
0,0,4,64,2.976257910447761
0,0,4,128,4.4590710447761195
0,0,4,256,5.411305074626865
0,0,4,512,6.836406447761194
0,0,4,1024,9.80203271641791
0,0,4,2048,16.195400597014928
0,0,4,4096,27.730531343283584
0,0,4,8192,50.98694686567164
0,0,4,16384,96.96057313432836
0,0,8,16,2.182555701492537
0,0,8,32,2.7387510447761194
0,0,8,64,3.263051462686567
0,0,8,128,5.706583880597015
0,0,8,256,6.98183928358209
0,0,8,512,10.07572728358209
0,0,8,1024,16.04340823880597
0,0,8,2048,27.76483343283582
0,0,8,4096,50.93559402985074
0,0,8,8192,96.69317731343283
0,0,8,16384,188.6510614925373
0,0,16,16,2.6896047761194026
0,0,16,32,3.686772537313433
0,0,16,64,4.459131223880597
0,0,16,128,6.389215522388059
0,0,16,256,9.254202268656716
0,0,16,512,15.369482507462687
0,0,16,1024,27.071570149253734
0,0,16,2048,50.87340895522388
0,0,16,4096,97.06969791044776
0,0,16,8192,187.93432835820894
0,0,16,16384,371.83465074626866
0,0,32,16,4.037476298507463
0,0,32,32,5.830753432835821
0,0,32,64,7.632315223880597
0,0,32,128,10.968103164179105
0,0,32,256,16.918552835820893
0,0,32,512,29.02077134328358
0,0,32,1024,51.9028728358209
0,0,32,2048,99.58378029850746
0,0,32,4096,191.90334089552238
0,0,32,8192,380.3038567164179
0,0,32,16384,752.5758089552238
0,0,64,16,6.365545074626866
0,0,64,32,9.588075940298507
