layer,sequences,time_us
lm_head,1,1529.3679193899784
lm_head,2,1557.999455337691
lm_head,3,1562.1099673202616
lm_head,4,1565.279411764706
lm_head,5,1581.19765795207
lm_head,6,1579.5463507625275
lm_head,7,1583.1064270152508
lm_head,8,1588.5486383442267
lm_head,9,1585.9029956427016
lm_head,10,1590.2620915032683
lm_head,11,1594.994063180828
lm_head,12,1594.3459694989108
lm_head,13,1595.0384531590414
lm_head,14,1605.9672657952071
lm_head,15,1603.6589869281047
lm_head,16,1600.8446623093685
lm_head,20,1611.4538671023965
lm_head,24,1620.5626906318084
lm_head,28,1625.3568082788672
lm_head,32,1632.3260348583879
lm_head,36,1642.704411764706
lm_head,40,1649.5315904139436
lm_head,44,1655.8438453159042
lm_head,48,1664.0116013071897
lm_head,52,1668.3795751633988
lm_head,56,1677.7103485838782
lm_head,60,1698.831100217865
lm_head,64,1710.665468409586
lm_head,80,1649.753540305011
lm_head,96,1659.2796296296299
lm_head,112,1668.787962962963
lm_head,128,1673.3512527233117
lm_head,144,2751.4772875817
lm_head,160,2818.6748366013076
lm_head,176,2840.70114379085
lm_head,192,2878.858769063181
lm_head,208,2796.257897603486
lm_head,224,2821.5601851851857
lm_head,240,2819.8911220043574
lm_head,256,2838.5437908496738
sampler,1,39.3851857298475
sampler,2,40.99529901960785
sampler,3,42.88897549019608
sampler,4,43.01184694989107
sampler,5,45.07651361655774
sampler,6,45.01942810457517
sampler,7,47.842009259259264
sampler,8,48.21106753812637
sampler,9,52.78563235294118
sampler,10,59.1771677559913
sampler,11,60.16200381263617
sampler,12,62.37795152505448
sampler,13,63.296557734204804
sampler,14,66.10884041394337
sampler,15,67.26413398692812
sampler,16,68.47748965141612
sampler,20,75.11494553376907
sampler,24,82.0566503267974
sampler,28,88.15494553376908
sampler,32,93.77116557734206
sampler,36,99.94492374727669
sampler,40,106.03434095860568
sampler,44,113.06038671023967
sampler,48,119.64253267973858
sampler,52,127.01925925925927
sampler,56,133.96895424836603
sampler,60,142.89045206971682
sampler,64,149.85080065359477
sampler,80,189.55763616557738
sampler,96,220.865
sampler,112,253.517380174292
sampler,128,286.34998366013076
sampler,144,319.41785403050113
sampler,160,375.78247276688455
sampler,176,399.1830936819173
sampler,192,426.6551633986929
sampler,208,460.3196350762528
sampler,224,491.8933387799565
sampler,240,523.9295860566449
sampler,256,556.1833442265796
