regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,60.224,60.735,60.608,0.7515
pure,2,1,0.5,4.0,0,0,256,1024,640,61.182,65.056,62.304,0.2896
pure,2,1,0.5,4.0,0,0,512,2048,1280,66.143,70.623,66.432,0.0645
pure,2,1,0.5,4.0,0,0,1024,4096,2560,82.88,94.528,83.711,0.0713
pure,2,1,0.5,4.0,0,0,2048,8192,5120,109.952,144.799,112.16,0.0634
pure,2,1,0.5,4.0,0,0,4096,16384,10240,160.96,231.358,164.254,0.0468
mixed,2,1,0.5,4.0,16,0,128,512,320,81.505,80.511,81.245,
mixed,2,1,0.5,4.0,16,0,256,1024,640,80.736,85.597,81.728,0.2041
mixed,2,1,0.5,4.0,16,0,512,2048,1280,87.201,89.921,87.487,0.1051
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,101.406,118.272,102.748,0.0796
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,131.614,165.311,134.335,0.0807
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,181.921,254.206,184.735,0.0389
mixed,2,1,0.5,4.0,16,512,128,512,320,113.696,114.207,113.663,-0.0646
mixed,2,1,0.5,4.0,16,512,256,1024,640,114.687,117.76,115.168,0.1565
mixed,2,1,0.5,4.0,16,512,512,2048,1280,119.168,123.679,119.231,0.014
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,135.485,151.07,136.828,0.0862
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,166.4,201.344,169.886,0.0998
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,217.694,290.015,219.904,0.0306
mixed,2,1,0.5,4.0,16,1024,128,512,320,116.031,116.0,115.648,
mixed,2,1,0.5,4.0,16,1024,256,1024,640,116.094,119.777,116.641,0.1485
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,121.023,125.472,121.569,0.1227
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,138.462,154.305,138.368,-0.0059
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,169.373,203.681,172.8,0.0999
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,220.67,291.04,223.583,0.0414
mixed,2,1,0.5,4.0,16,2048,128,512,320,119.359,119.423,119.488,2.0156
mixed,2,1,0.5,4.0,16,2048,256,1024,640,119.873,123.614,120.64,0.205
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,124.831,129.632,125.312,0.1002
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,140.672,159.583,143.52,0.1506
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,173.344,208.384,177.407,0.116
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,227.137,297.597,228.321,0.0168
mixed,2,1,0.5,4.0,16,4096,128,512,320,127.935,128.031,126.91,-10.6771
mixed,2,1,0.5,4.0,16,4096,256,1024,640,128.029,131.489,129.088,0.3061
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,133.183,137.536,133.311,0.0294
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,150.56,169.984,151.774,0.0625
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,184.768,220.063,188.446,0.1042
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,237.567,307.455,240.99,0.049
mixed,2,1,0.5,4.0,16,8192,128,512,320,158.08,157.152,157.311,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,157.437,162.013,159.232,0.3923
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,162.976,167.999,163.776,0.1593
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,183.068,200.318,182.303,-0.0443
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,217.31,254.72,221.023,0.0993
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,273.696,339.58,277.725,0.0612
mixed,2,1,0.5,4.0,32,0,128,512,320,112.127,111.265,111.807,
mixed,2,1,0.5,4.0,32,0,256,1024,640,111.776,115.967,112.575,0.1906
mixed,2,1,0.5,4.0,32,0,512,2048,1280,117.504,120.927,117.92,0.1215
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,132.927,150.366,135.74,0.1613
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,165.982,201.087,169.727,0.1067
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,218.815,289.28,224.03,0.074
mixed,2,1,0.5,4.0,32,512,128,512,320,136.835,136.35,136.127,
mixed,2,1,0.5,4.0,32,512,256,1024,640,136.64,139.934,137.631,0.3009
mixed,2,1,0.5,4.0,32,512,512,2048,1280,141.472,146.658,141.952,0.0926
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,159.488,178.367,161.154,0.0882
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,194.334,228.51,196.607,0.0665
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,246.719,313.056,248.095,0.0207
mixed,2,1,0.5,4.0,32,1024,128,512,320,136.958,136.64,136.574,
mixed,2,1,0.5,4.0,32,1024,256,1024,640,138.112,141.439,138.688,0.1731
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,142.43,147.712,143.133,0.1331
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,161.343,179.391,160.864,-0.0265
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,195.455,231.517,199.007,0.0985
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,248.798,319.647,250.974,0.0307
mixed,2,1,0.5,4.0,32,2048,128,512,320,141.888,141.794,141.473,
mixed,2,1,0.5,4.0,32,2048,256,1024,640,142.432,147.264,142.687,0.0528
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,148.895,154.11,149.826,0.1785
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,166.976,187.07,167.423,0.0222
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,202.27,240.64,205.983,0.0968
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,256.641,330.08,259.585,0.0401
mixed,2,1,0.5,4.0,32,4096,128,512,320,155.745,156.702,156.16,0.4336
mixed,2,1,0.5,4.0,32,4096,256,1024,640,157.022,160.958,158.784,0.4477
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,161.249,167.323,163.039,0.2947
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,180.608,199.807,184.159,0.185
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,217.982,256.542,221.187,0.0831
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,274.495,343.841,278.844,0.0627
mixed,2,1,0.5,4.0,32,8192,128,512,320,247.548,248.415,248.801,1.4452
mixed,2,1,0.5,4.0,32,8192,256,1024,640,251.968,255.136,249.633,-0.7371
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,257.055,262.365,256.446,-0.1147
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,275.777,293.375,275.295,-0.0274
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,310.782,347.805,315.712,0.1332
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,364.673,436.38,370.143,0.0763
mixed,2,1,0.5,4.0,64,0,128,512,320,112.863,112.128,112.896,
mixed,2,1,0.5,4.0,64,0,256,1024,640,112.735,117.181,113.184,0.101
mixed,2,1,0.5,4.0,64,0,512,2048,1280,118.304,121.789,118.784,0.1377
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,135.134,153.76,137.28,0.1152
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,170.24,204.67,173.693,0.1003
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,222.591,295.327,230.975,0.1153
mixed,2,1,0.5,4.0,64,512,128,512,320,141.952,142.364,141.787,-0.4005
mixed,2,1,0.5,4.0,64,512,256,1024,640,142.529,145.664,143.104,0.1834
mixed,2,1,0.5,4.0,64,512,512,2048,1280,147.326,152.898,148.64,0.2358
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,165.792,186.752,166.62,0.0395
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,203.617,238.592,207.295,0.1052
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,255.583,325.437,261.632,0.0866
mixed,2,1,0.5,4.0,64,1024,128,512,320,147.296,147.039,146.656,
mixed,2,1,0.5,4.0,64,1024,256,1024,640,148.127,151.81,148.418,0.079
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,153.438,159.231,154.336,0.155
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,170.942,193.118,173.952,0.1357
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,210.655,246.208,213.311,0.0747
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,262.684,335.808,266.464,0.0517
mixed,2,1,0.5,4.0,64,2048,128,512,320,158.238,158.044,158.207,
mixed,2,1,0.5,4.0,64,2048,256,1024,640,159.134,162.624,159.841,0.2026
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,164.576,168.927,165.121,0.1253
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,183.743,204.8,184.673,0.0442
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,219.743,261.344,222.943,0.0769
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,277.599,344.287,278.719,0.0168
mixed,2,1,0.5,4.0,64,4096,128,512,320,235.169,236.158,235.389,0.2224
mixed,2,1,0.5,4.0,64,4096,256,1024,640,236.543,240.381,236.16,-0.0998
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,242.848,248.544,242.431,-0.0732
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,262.016,281.12,264.03,0.1054
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,298.494,337.535,301.31,0.0721
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,354.367,424.384,357.949,0.0512
mixed,2,1,0.5,4.0,64,8192,128,512,320,314.908,315.104,316.415,7.6888
mixed,2,1,0.5,4.0,64,8192,256,1024,640,316.286,320.671,316.991,0.1608
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,323.167,328.737,323.229,0.0111
mixed,2,1,0.5,4.0,64,8192,1024,4096,2560,340.798,361.758,343.23,0.116
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,379.229,414.046,382.879,0.1048
mixed,2,1,0.5,4.0,64,8192,4096,16384,10240,430.525,502.974,438.527,0.1105
mixed,2,1,0.5,4.0,128,0,128,512,320,121.44,121.856,121.662,0.5337
mixed,2,1,0.5,4.0,128,0,256,1024,640,122.177,124.992,123.103,0.329
mixed,2,1,0.5,4.0,128,0,512,2048,1280,126.879,130.879,127.2,0.0802
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,143.456,161.954,144.223,0.0415
mixed,2,1,0.5,4.0,128,0,2048,8192,5120,175.136,211.454,179.2,0.1119
mixed,2,1,0.5,4.0,128,0,4096,16384,10240,228.223,300.894,235.55,0.1008
mixed,2,1,0.5,4.0,128,512,128,512,320,157.598,157.886,157.279,-1.1076
mixed,2,1,0.5,4.0,128,512,256,1024,640,159.262,161.567,160.002,0.321
mixed,2,1,0.5,4.0,128,512,512,2048,1280,162.624,169.441,164.064,0.2112
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,182.718,203.006,184.961,0.1106
mixed,2,1,0.5,4.0,128,512,2048,8192,5120,218.463,258.655,222.943,0.1115
mixed,2,1,0.5,4.0,128,512,4096,16384,10240,274.11,342.814,283.933,0.143
mixed,2,1,0.5,4.0,128,1024,128,512,320,165.118,165.377,165.054,-0.2471
mixed,2,1,0.5,4.0,128,1024,256,1024,640,167.04,169.307,167.388,0.1535
mixed,2,1,0.5,4.0,128,1024,512,2048,1280,171.327,176.671,172.993,0.3118
mixed,2,1,0.5,4.0,128,1024,1024,4096,2560,190.557,210.655,192.767,0.11
mixed,2,1,0.5,4.0,128,1024,2048,8192,5120,227.84,265.983,233.184,0.1401
mixed,2,1,0.5,4.0,128,1024,4096,16384,10240,282.589,352.637,288.51,0.0845
mixed,2,1,0.5,4.0,128,2048,128,512,320,237.631,237.728,237.022,-6.2784
mixed,2,1,0.5,4.0,128,2048,256,1024,640,237.247,245.057,239.102,0.2375
mixed,2,1,0.5,4.0,128,2048,512,2048,1280,245.757,248.894,244.961,-0.2537
mixed,2,1,0.5,4.0,128,2048,1024,4096,2560,264.574,285.057,266.304,0.0845
