pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.2027,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1694,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.1896,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.2608,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2388,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.2547,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.2265,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.1954,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2182,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0414,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0004,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0363,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.7363,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.7609,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.7685,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0118,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0206,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0006,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.006,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0771,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0129,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0359,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.1384,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0571,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0875,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.1989,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0583,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0501,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.2975,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0705,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0274,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.011,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.021,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0056,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,-0.0216,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0027,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0376,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0137,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0319,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.1012,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.1101,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.1025,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.0124,4
0,n<=256,sr>70%,kvB<=1k,kp=0,-0.0331,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.0444,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1168,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0895,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1163,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.061,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0408,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.056,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,-0.0116,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,-0.0107,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,-0.0052,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.0589,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.0455,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0462,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.4809,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.5424,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.4715,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0254,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.0802,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0457,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0445,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.2676,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.037,2
0,n<=4,sr>70%,kvB<=16k,kp=0,-0.0472,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.1706,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.0178,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.1275,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1935,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.1334,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.7357,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.7235,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.7273,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0208,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0862,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0257,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.6363,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.6611,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.6313,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.6573,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.5873,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.6157,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0254,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0032,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0317,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.014,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0061,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0434,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0381,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.0154,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0602,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.0486,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.2152,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.1082,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.2265,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.2424,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.2342,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.2261,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.2335,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.2329,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.2132,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.2061,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.2166,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.212,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.2112,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.2081,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.2124,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.2088,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.2134,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.2122,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.2201,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.2125,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.2406,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.2458,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.2409,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.2433,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.2517,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.2597,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.201,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.2037,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.2135,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.2228,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.2067,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.1999,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,0.2505,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,0.2531,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.2309,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,0.2475,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.2433,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.2515,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.2149,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.2136,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.2141,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.2171,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.2137,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.2147,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.1881,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.1836,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.1864,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.1882,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.1833,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.182,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.2044,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.2035,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.2061,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.2025,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.2038,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.2042,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.0399,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.0402,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,0.0415,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.0412,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.0402,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,0.0443,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0088,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0042,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0042,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0069,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0215,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0128,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,0.0343,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,0.036,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0417,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,0.036,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.0417,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,0.0338,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,0.7432,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.7281,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,0.737,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.7315,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.7387,4
16,n<=128,sr>70%,kvB<=16k,kp=0,0.7862,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.7388,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.8262,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.7625,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.7496,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.8053,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.6848,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,0.7423,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.7134,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,0.7693,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.7448,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.7004,4
16,n<=128,sr>70%,kvB<=4k,kp=0,0.7721,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.006,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.0051,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.0082,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.0062,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.0036,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.0052,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0181,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.018,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0352,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.0217,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0252,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.0168,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.0099,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.0007,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0063,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,-0.0002,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.002,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.005,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,-0.0104,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.002,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,-0.016,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,-0.0072,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.0009,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0051,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0749,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0675,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.0742,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.0744,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.081,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.0617,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,-0.0098,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,-0.0117,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.0128,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,-0.01,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.0154,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,-0.012,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,-0.0539,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,-0.0531,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,-0.0603,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,-0.0364,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,-0.0241,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0682,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,-0.1663,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.1169,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.1368,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,-0.157,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,-0.127,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,-0.1426,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,-0.0818,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.0253,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0268,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.0426,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.0761,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0601,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.0958,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.047,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.0959,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.0974,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.1227,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.046,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.1563,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.1368,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.1849,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.1382,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.1296,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.1556,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,-0.0944,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.0026,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.0018,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,-0.0087,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.0885,4
16,n<=16,sr>70%,kvB<=4k,kp=0,-0.0208,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.0526,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.0365,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.0602,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.0437,2
