layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2432
input_layernorm,1,0,1,18944
q_proj,1,0,1,58768
k_proj,1,0,1,17568
v_proj,1,0,1,17584
rope,1,0,1,26144
o_proj,1,0,1,58735
post_layernorm,1,0,1,18991
gate_proj,1,0,1,195822
up_proj,1,0,1,195982
act_fn,1,0,1,3232
down_proj,1,0,1,199054
final_layernorm,1,0,1,18944
lm_head,1,0,1,1722125
embedding,2,0,1,3584
input_layernorm,2,0,1,24064
q_proj,2,0,1,3279
k_proj,2,0,1,2688
v_proj,2,0,1,2304
rope,2,0,1,33118
o_proj,2,0,1,3264
post_layernorm,2,0,1,24607
act_fn,2,0,1,4512
down_proj,2,0,1,512
final_layernorm,2,0,1,24673
embedding,3,0,1,4224
input_layernorm,3,0,1,23503
q_proj,3,0,1,3328
k_proj,3,0,1,2720
v_proj,3,0,1,2304
rope,3,0,1,33151
o_proj,3,0,1,3360
post_layernorm,3,0,1,24127
act_fn,3,0,1,4688
down_proj,3,0,1,512
final_layernorm,3,0,1,24223
embedding,4,0,1,4960
input_layernorm,4,0,1,25023
q_proj,4,0,1,3103
k_proj,4,0,1,2751
v_proj,4,0,1,2464
rope,4,0,1,33520
o_proj,4,0,1,3072
post_layernorm,4,0,1,25536
act_fn,4,0,1,4832
down_proj,4,0,1,512
final_layernorm,4,0,1,25664
embedding,5,0,1,5759
input_layernorm,5,0,1,24431
q_proj,5,0,1,3136
k_proj,5,0,1,2751
v_proj,5,0,1,2464
rope,5,0,1,33118
o_proj,5,0,1,3136
post_layernorm,5,0,1,25103
act_fn,5,0,1,4960
down_proj,5,0,1,512
final_layernorm,5,0,1,25200
lm_head,5,0,1,1775805
embedding,6,0,1,6400
input_layernorm,6,0,1,24509
q_proj,6,0,1,3616
k_proj,6,0,1,2751
v_proj,6,0,1,2432
rope,6,0,1,33407
o_proj,6,0,1,3599
post_layernorm,6,0,1,25264
act_fn,6,0,1,5120
down_proj,6,0,1,512
final_layernorm,6,0,1,25343
lm_head,6,0,1,1780494
embedding,7,0,1,7072
input_layernorm,7,0,1,24735
q_proj,7,0,1,3680
k_proj,7,0,1,2784
v_proj,7,0,1,2560
rope,7,0,1,33216
o_proj,7,0,1,3631
post_layernorm,7,0,1,25422
act_fn,7,0,1,5200
down_proj,7,0,1,512
final_layernorm,7,0,1,25376
lm_head,7,0,1,1783869
embedding,8,0,1,7776
input_layernorm,8,0,1,27198
q_proj,8,0,1,3712
k_proj,8,0,1,2688
v_proj,8,0,1,2464
rope,8,0,1,33775
o_proj,8,0,1,3680
post_layernorm,8,0,1,27568
act_fn,8,0,1,5376
down_proj,8,0,1,512
final_layernorm,8,0,1,27456
lm_head,8,0,1,1788158
embedding,9,0,1,8640
input_layernorm,9,0,1,26319
q_proj,9,0,1,3712
k_proj,9,0,1,2816
v_proj,9,0,1,2415
rope,9,0,1,33391
o_proj,9,0,1,3696
post_layernorm,9,0,1,26912
act_fn,9,0,1,5408
down_proj,9,0,1,512
final_layernorm,9,0,1,26911
lm_head,9,0,1,1789294
embedding,10,0,1,9344
input_layernorm,10,0,1,26560
q_proj,10,0,1,3807
k_proj,10,0,1,2848
v_proj,10,0,1,2608
rope,10,0,1,33825
o_proj,10,0,1,3840
post_layernorm,10,0,1,27167
act_fn,10,0,1,5568
down_proj,10,0,1,512
final_layernorm,10,0,1,27296
lm_head,10,0,1,1792655
embedding,11,0,1,9888
input_layernorm,11,0,1,26624
q_proj,11,0,1,3872
k_proj,11,0,1,2848
v_proj,11,0,1,2672
rope,11,0,1,33728
o_proj,11,0,1,3871
post_layernorm,11,0,1,27280
act_fn,11,0,1,5743
down_proj,11,0,1,512
final_layernorm,11,0,1,27232
lm_head,11,0,1,1797070
embedding,12,0,1,10656
input_layernorm,12,0,1,26754
q_proj,12,0,1,3904
k_proj,12,0,1,2879
v_proj,12,0,1,2848
rope,12,0,1,34273
o_proj,12,0,1,3904
post_layernorm,12,0,1,27455
act_fn,12,0,1,5888
down_proj,12,0,1,512
final_layernorm,12,0,1,27522
lm_head,12,0,1,1797759
embedding,13,0,1,11040
input_layernorm,13,0,1,26751
q_proj,13,0,1,512
k_proj,13,0,1,2751
v_proj,13,0,1,2576
rope,13,0,1,33727
o_proj,13,0,1,512
post_layernorm,13,0,1,27584
act_fn,13,0,1,5952
down_proj,13,0,1,512
final_layernorm,13,0,1,27504
lm_head,13,0,1,1800959
embedding,14,0,1,12160
input_layernorm,14,0,1,26879
q_proj,14,0,1,512
k_proj,14,0,1,2751
v_proj,14,0,1,2560
rope,14,0,1,33919
o_proj,14,0,1,512
post_layernorm,14,0,1,27584
act_fn,14,0,1,6160
down_proj,14,0,1,512
final_layernorm,14,0,1,27552
lm_head,14,0,1,1803951
embedding,15,0,1,12432
input_layernorm,15,0,1,26977
q_proj,15,0,1,512
k_proj,15,0,1,2751
v_proj,15,0,1,2592
rope,15,0,1,33918
o_proj,15,0,1,512
post_layernorm,15,0,1,27934
gate_proj,15,0,1,218766
up_proj,15,0,1,216814
act_fn,15,0,1,6032
down_proj,15,0,1,512
final_layernorm,15,0,1,27776
lm_head,15,0,1,1807696
embedding,16,0,1,13584
input_layernorm,16,0,1,31328
q_proj,16,0,1,512
k_proj,16,0,1,2784
v_proj,16,0,1,2624
rope,16,0,1,34351
o_proj,16,0,1,512
post_layernorm,16,0,1,31840
gate_proj,16,0,1,220478
up_proj,16,0,1,217582
act_fn,16,0,1,6240
down_proj,16,0,1,512
final_layernorm,16,0,1,31840
lm_head,16,0,1,1809983
embedding,17,0,1,3616
input_layernorm,17,0,1,30656
q_proj,17,0,1,74975
rope,17,0,1,33903
o_proj,17,0,1,70991
post_layernorm,17,0,1,31088
gate_proj,17,0,1,214334
up_proj,17,0,1,216526
act_fn,17,0,1,6336
down_proj,17,0,1,349597
final_layernorm,17,0,1,31008
lm_head,17,0,1,1809712
embedding,18,0,1,3616
input_layernorm,18,0,1,30575
q_proj,18,0,1,75455
rope,18,0,1,34271
o_proj,18,0,1,71407
post_layernorm,18,0,1,31135
gate_proj,18,0,1,214334
up_proj,18,0,1,216478
act_fn,18,0,1,6383
down_proj,18,0,1,350061
final_layernorm,18,0,1,31118
lm_head,18,0,1,1814735
embedding,19,0,1,4064
input_layernorm,19,0,1,30704
q_proj,19,0,1,77791
rope,19,0,1,35136
