layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2
input_layernorm,1,0,4,4
q_proj,1,0,4,2507
k_proj,1,0,4,628
v_proj,1,0,4,628
rope,1,0,4,1
o_proj,1,0,4,2507
post_layernorm,1,0,4,4
gate_proj,1,0,4,8768
up_proj,1,0,4,8768
act_fn,1,0,4,4
down_proj,1,0,4,8773
final_layernorm,1,0,4,4
lm_head,1,0,4,78430
embedding,2,0,4,4
input_layernorm,2,0,4,9
q_proj,2,0,4,2510
k_proj,2,0,4,631
v_proj,2,0,4,631
rope,2,0,4,3
o_proj,2,0,4,2510
post_layernorm,2,0,4,9
gate_proj,2,0,4,8773
up_proj,2,0,4,8773
act_fn,2,0,4,8
down_proj,2,0,4,8782
final_layernorm,2,0,4,9
lm_head,2,0,4,78451
embedding,3,0,4,7
input_layernorm,3,0,4,14
q_proj,3,0,4,2513
k_proj,3,0,4,633
v_proj,3,0,4,633
rope,3,0,4,4
o_proj,3,0,4,2513
post_layernorm,3,0,4,14
gate_proj,3,0,4,8777
up_proj,3,0,4,8777
act_fn,3,0,4,12
down_proj,3,0,4,8791
final_layernorm,3,0,4,14
lm_head,3,0,4,78473
embedding,4,0,4,9
input_layernorm,4,0,4,19
q_proj,4,0,4,2516
k_proj,4,0,4,636
v_proj,4,0,4,636
rope,4,0,4,6
o_proj,4,0,4,2516
post_layernorm,4,0,4,19
gate_proj,4,0,4,8782
up_proj,4,0,4,8782
act_fn,4,0,4,17
down_proj,4,0,4,8800
final_layernorm,4,0,4,19
lm_head,4,0,4,78494
embedding,5,0,4,12
input_layernorm,5,0,4,24
q_proj,5,0,4,2519
k_proj,5,0,4,639
v_proj,5,0,4,639
rope,5,0,4,7
o_proj,5,0,4,2519
post_layernorm,5,0,4,24
gate_proj,5,0,4,8787
up_proj,5,0,4,8787
act_fn,5,0,4,21
down_proj,5,0,4,8810
final_layernorm,5,0,4,24
lm_head,5,0,4,78516
embedding,6,0,4,14
input_layernorm,6,0,4,29
q_proj,6,0,4,2522
k_proj,6,0,4,641
v_proj,6,0,4,641
rope,6,0,4,9
o_proj,6,0,4,2522
post_layernorm,6,0,4,29
gate_proj,6,0,4,8791
up_proj,6,0,4,8791
act_fn,6,0,4,25
down_proj,6,0,4,8819
final_layernorm,6,0,4,29
lm_head,6,0,4,78537
embedding,7,0,4,17
input_layernorm,7,0,4,34
q_proj,7,0,4,2525
k_proj,7,0,4,644
v_proj,7,0,4,644
rope,7,0,4,10
o_proj,7,0,4,2525
post_layernorm,7,0,4,34
gate_proj,7,0,4,8796
up_proj,7,0,4,8796
act_fn,7,0,4,29
down_proj,7,0,4,8828
final_layernorm,7,0,4,34
lm_head,7,0,4,78559
embedding,8,0,4,19
input_layernorm,8,0,4,39
q_proj,8,0,4,2528
k_proj,8,0,4,646
v_proj,8,0,4,646
rope,8,0,4,12
o_proj,8,0,4,2528
post_layernorm,8,0,4,39
gate_proj,8,0,4,8800
up_proj,8,0,4,8800
act_fn,8,0,4,34
down_proj,8,0,4,8837
final_layernorm,8,0,4,39
lm_head,8,0,4,78581
embedding,9,0,4,22
input_layernorm,9,0,4,44
q_proj,9,0,4,2531
k_proj,9,0,4,649
v_proj,9,0,4,649
rope,9,0,4,13
o_proj,9,0,4,2531
post_layernorm,9,0,4,44
gate_proj,9,0,4,8805
up_proj,9,0,4,8805
act_fn,9,0,4,38
down_proj,9,0,4,8846
final_layernorm,9,0,4,44
lm_head,9,0,4,78602
embedding,10,0,4,24
input_layernorm,10,0,4,48
q_proj,10,0,4,2534
k_proj,10,0,4,651
v_proj,10,0,4,651
rope,10,0,4,15
o_proj,10,0,4,2534
post_layernorm,10,0,4,48
gate_proj,10,0,4,8810
up_proj,10,0,4,8810
act_fn,10,0,4,42
down_proj,10,0,4,8855
final_layernorm,10,0,4,48
lm_head,10,0,4,78624
embedding,11,0,4,26
input_layernorm,11,0,4,53
q_proj,11,0,4,2537
k_proj,11,0,4,654
v_proj,11,0,4,654
rope,11,0,4,16
o_proj,11,0,4,2537
post_layernorm,11,0,4,53
gate_proj,11,0,4,8814
up_proj,11,0,4,8814
act_fn,11,0,4,47
down_proj,11,0,4,8865
final_layernorm,11,0,4,53
lm_head,11,0,4,78645
embedding,12,0,4,29
input_layernorm,12,0,4,58
q_proj,12,0,4,2540
k_proj,12,0,4,657
v_proj,12,0,4,657
rope,12,0,4,18
o_proj,12,0,4,2540
post_layernorm,12,0,4,58
gate_proj,12,0,4,8819
up_proj,12,0,4,8819
act_fn,12,0,4,51
down_proj,12,0,4,8874
final_layernorm,12,0,4,58
lm_head,12,0,4,78667
embedding,13,0,4,31
input_layernorm,13,0,4,63
q_proj,13,0,4,2543
k_proj,13,0,4,659
v_proj,13,0,4,659
rope,13,0,4,19
o_proj,13,0,4,2543
post_layernorm,13,0,4,63
gate_proj,13,0,4,8823
up_proj,13,0,4,8823
act_fn,13,0,4,55
down_proj,13,0,4,8883
final_layernorm,13,0,4,63
lm_head,13,0,4,78689
embedding,14,0,4,34
input_layernorm,14,0,4,68
q_proj,14,0,4,2546
k_proj,14,0,4,662
v_proj,14,0,4,662
rope,14,0,4,21
o_proj,14,0,4,2546
post_layernorm,14,0,4,68
gate_proj,14,0,4,8828
up_proj,14,0,4,8828
act_fn,14,0,4,59
down_proj,14,0,4,8892
final_layernorm,14,0,4,68
lm_head,14,0,4,78710
embedding,15,0,4,36
input_layernorm,15,0,4,73
q_proj,15,0,4,2549
